file_path,file_size,file_md5,is_symlink
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141225_170159581.mp4,42069587,32edc7e06c4a4e8302cad2ad1ded107f,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180228_213818742.mp4,41609275,502795cef66bf399b04adb1760872c3a,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_103552790.mp4,41411816,54f877264699a87db7794abc0f7e7899,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_120619267.mp4,40982234,bf716830239f8bf02a654c44fe942bf1,False
"/Users/arunpatro/My Drive/Books/Uncategorized/Marvin Minsky - The Emotion Machine_ Commonsense Thinking, Artificial Intelligence, and the Future of the Human Mind-Simon & Schuster (2006).pdf",40924782,4beafcedda7b1ad99cd910530b64f83b,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180303_075710019.mp4,40880618,f800e359ec6a17f5244269a624502ff2,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141231_211256511.mp4,40832111,eeab18d125a54469b8b3ca91d925cb3e,False
/Users/arunpatro/My Drive/Google Photos/2017/VID_20170927_203930159.mp4,40240463,70e880e41f76ac1d1d26f497c0ec28ad,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_093600061.mp4,40150251,4d5d81b313ef7aea0c17abd9bbb80685,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/CAOS/books/Computer_Organisation_and_Design_fifth_edition_Patterson_Hennessy.pdf,39996298,ba55863a62d565acc7ab9fc7651d37b3,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Electronics Notes.pdf,39928798,302c13515f9dfde878bccb92c6979885,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics Notes.pdf,39928798,302c13515f9dfde878bccb92c6979885,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141229_122332808.mp4,39635672,cc5bb37d94988b1a75f1255d0dc483c9,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20181226_122758158.mp4,39340398,a0543839e9310bdb4eb3ae7a72fa4b02,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180303_132704259.mp4,39215422,55842b941755d756baf8beb0a38fe0fb,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_150335046.mp4,39203734,e37b48fca5c8d765a9fb4806775b46b6,False
/Users/arunpatro/My Drive/Books/EE/Chapman.pdf,39094034,edbcd89dabba9fe9f97c11c38982b1d8,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/ess_notes_orig.pdf,39063402,16ffa199a8e8016e2823ce81e806d2a1,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_131119258.mp4,38928584,bf97dda6379d3c9e28d8da9cfe2a75a1,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Simple Examples of PID Control.mp4,38667654,778582c046fe56fef8a3f3e4320d702c,False
/Users/arunpatro/My Drive/Google Photos/2017/VID_20170517_221210235.mp4,38064837,8a1852e72127e6fcaa5ea64db2b52a9c,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_103434872.mp4,38003170,0763184ed5a33e067c9b4d0a53572b21,False
