Pair,Count,Folder1,Folder2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/4 DC Choppers', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/4 DC Choppers')",2,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/4 DC Choppers,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/4 DC Choppers
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum')",2,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 2/Physics/PHYSICS', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum')",2,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 2/Physics/PHYSICS,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum
"('/Users/arunpatro/My Drive/Google Photos/2015', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/3D + Quantum')",22,/Users/arunpatro/My Drive/Google Photos/2015,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/3D + Quantum
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/3D + Quantum', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/3D + Quantum')",11,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/3D + Quantum,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/3D + Quantum
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/Google Photos/2017')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/Google Photos/2017
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/Tuts', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/Tuts')",6,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/Tuts,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum/Tuts
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Copyright Law/Copyright Law (files shared by Matilal sir)', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Copyright Law/Copyright Law Case Law')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Copyright Law/Copyright Law (files shared by Matilal sir),/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Copyright Law/Copyright Law Case Law
"('/Users/arunpatro/My Drive/Books', '/Users/arunpatro/My Drive/Books/Controls')",1,/Users/arunpatro/My Drive/Books,/Users/arunpatro/My Drive/Books/Controls
"('/Users/arunpatro/My Drive/Backup/Dropbox/alivehomes/tiny', '/Users/arunpatro/My Drive/Backup/Dropbox/alivehomes/tiny')",1,/Users/arunpatro/My Drive/Backup/Dropbox/alivehomes/tiny,/Users/arunpatro/My Drive/Backup/Dropbox/alivehomes/tiny
